"","name","url","query","woeid"
"1","#SomnathTemple","http://twitter.com/search?q=%23SomnathTemple","%23SomnathTemple","2295424"
"2","#InfinityWarTrailer","http://twitter.com/search?q=%23InfinityWarTrailer","%23InfinityWarTrailer","2295424"
"3","#PUNMUM","http://twitter.com/search?q=%23PUNMUM","%23PUNMUM","2295424"
"4","#RahulRiggedElection","http://twitter.com/search?q=%23RahulRiggedElection","%23RahulRiggedElection","2295424"
"5","#38YrsOfSuperstarMaheshInTFI","http://twitter.com/search?q=%2338YrsOfSuperstarMaheshInTFI","%2338YrsOfSuperstarMaheshInTFI","2295424"
"6","TED TALKS INDIA WITH SRK","http://twitter.com/search?q=%22TED+TALKS+INDIA+WITH+SRK%22","%22TED+TALKS+INDIA+WITH+SRK%22","2295424"
"7","MERSAL TN HIGHEST GROSSER","http://twitter.com/search?q=%22MERSAL+TN+HIGHEST+GROSSER%22","%22MERSAL+TN+HIGHEST+GROSSER%22","2295424"
"8","Intelligence Bureau","http://twitter.com/search?q=%22Intelligence+Bureau%22","%22Intelligence+Bureau%22","2295424"
"9","Kumar Ketkar","http://twitter.com/search?q=%22Kumar+Ketkar%22","%22Kumar+Ketkar%22","2295424"
"10","Rajdhani","http://twitter.com/search?q=Rajdhani","Rajdhani","2295424"
"11","Chennai City FC","http://twitter.com/search?q=%22Chennai+City+FC%22","%22Chennai+City+FC%22","2295424"
"12","Catch the LIVE","http://twitter.com/search?q=%22Catch+the+LIVE%22","%22Catch+the+LIVE%22","2295424"
"13","Matt Lauer","http://twitter.com/search?q=%22Matt+Lauer%22","%22Matt+Lauer%22","2295424"
"14","Motion Poster","http://twitter.com/search?q=%22Motion+Poster%22","%22Motion+Poster%22","2295424"
"15","Mehbooba Mufti","http://twitter.com/search?q=%22Mehbooba+Mufti%22","%22Mehbooba+Mufti%22","2295424"
"16","#StupendousTSKTeaserFromTmrw","http://twitter.com/search?q=%23StupendousTSKTeaserFromTmrw","%23StupendousTSKTeaserFromTmrw","2295424"
"17","#TechAndAutoAwards17","http://twitter.com/search?q=%23TechAndAutoAwards17","%23TechAndAutoAwards17","2295424"
"18","#LikeMotherLikeDaughter","http://twitter.com/search?q=%23LikeMotherLikeDaughter","%23LikeMotherLikeDaughter","2295424"
"19","#BCCI","http://twitter.com/search?q=%23BCCI","%23BCCI","2295424"
"20","#Bandagi","http://twitter.com/search?q=%23Bandagi","%23Bandagi","2295424"
"21","#<U+0930><U+093E><U+0939><U+0941><U+0932>_<U+0915><U+093E>_<U+0927><U+0930><U+094D><U+092E><U+0938><U+0902><U+0915><U+091F>","http://twitter.com/search?q=%23%E0%A4%B0%E0%A4%BE%E0%A4%B9%E0%A5%81%E0%A4%B2_%E0%A4%95%E0%A4%BE_%E0%A4%A7%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%B8%E0%A4%82%E0%A4%95%E0%A4%9F","%23%E0%A4%B0%E0%A4%BE%E0%A4%B9%E0%A5%81%E0%A4%B2_%E0%A4%95%E0%A4%BE_%E0%A4%A7%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%B8%E0%A4%82%E0%A4%95%E0%A4%9F","2295424"
"22","#reInvent","http://twitter.com/search?q=%23reInvent","%23reInvent","2295424"
"23","#Vikatan","http://twitter.com/search?q=%23Vikatan","%23Vikatan","2295424"
"24","#Seiaudiolaunch","http://twitter.com/search?q=%23Seiaudiolaunch","%23Seiaudiolaunch","2295424"
"25","#GolcondaFort","http://twitter.com/search?q=%23GolcondaFort","%23GolcondaFort","2295424"
"26","#Dhadak","http://twitter.com/search?q=%23Dhadak","%23Dhadak","2295424"
"27","#AparnaYadav","http://twitter.com/search?q=%23AparnaYadav","%23AparnaYadav","2295424"
"28","#UnakaagaSong","http://twitter.com/search?q=%23UnakaagaSong","%23UnakaagaSong","2295424"
"29","#OruNallaNaalPaathuSoldren","http://twitter.com/search?q=%23OruNallaNaalPaathuSoldren","%23OruNallaNaalPaathuSoldren","2295424"
"30","#UdayChopra","http://twitter.com/search?q=%23UdayChopra","%23UdayChopra","2295424"
"31","#NerpadaPesu","http://twitter.com/search?q=%23NerpadaPesu","%23NerpadaPesu","2295424"
"32","#SarvamThaalaMayam","http://twitter.com/search?q=%23SarvamThaalaMayam","%23SarvamThaalaMayam","2295424"
"33","#NorthKorea","http://twitter.com/search?q=%23NorthKorea","%23NorthKorea","2295424"
"34","#TuMeraBhaiNahiHai","http://twitter.com/search?q=%23TuMeraBhaiNahiHai","%23TuMeraBhaiNahiHai","2295424"
"35","#MP_<U+0935><U+0930><U+094D><U+0937>_12_<U+0938><U+093E><U+0925>_<U+0939><U+092E><U+093E><U+0930><U+093E>","http://twitter.com/search?q=%23MP_%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%B7_12_%E0%A4%B8%E0%A4%BE%E0%A4%A5_%E0%A4%B9%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A4%BE","%23MP_%E0%A4%B5%E0%A4%B0%E0%A5%8D%E0%A4%B7_12_%E0%A4%B8%E0%A4%BE%E0%A4%A5_%E0%A4%B9%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A4%BE","2295424"
"36","#Kopardi","http://twitter.com/search?q=%23Kopardi","%23Kopardi","2295424"
"37","#HBDRajaBrar","http://twitter.com/search?q=%23HBDRajaBrar","%23HBDRajaBrar","2295424"
"38","#AnnaDuraiFromTomorrow","http://twitter.com/search?q=%23AnnaDuraiFromTomorrow","%23AnnaDuraiFromTomorrow","2295424"
"39","#NetNeutrality","http://twitter.com/search?q=%23NetNeutrality","%23NetNeutrality","2295424"
"40","#Hadiya","http://twitter.com/search?q=%23Hadiya","%23Hadiya","2295424"
"41","#Maggi","http://twitter.com/search?q=%23Maggi","%23Maggi","2295424"
"42","#GajiniKanth","http://twitter.com/search?q=%23GajiniKanth","%23GajiniKanth","2295424"
